Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
6774,T02,Texmaco Infra,36.20,1.4500,0.95,4.1727,2.7000
6775,TRE,Texmaco Rail,25.80,-0.3500,0.75,-1.3384,2.9900
6776,TPP,Texmo Pipes,15.51,1.4100,1.51,10.0000,10.7900
6777,TI22,Tirupati Inks,1.59,0.0000,0,0.0000,0
6778,TT05,Texport Textile,4.50,-0.1500,Nan,-3.2258,Nan
6779,T01,Textool,18.15,0.2000,Nan,1.1142,Nan
6780,TT11,Tarapur Trans,3.07,0.0000,-0.16,0.0000,-4.95
6781,BBaH,TGB Banquets,5.09,0.0900,0.39,1.8000,8.3
6782,SRA,TGV Sraac,22.45,-0.1500,0.05,-0.6637,0.2200
6783,TC03,Thacker,129.00,0.0000,6.1,0.0000,4.96
6784,TD01,Thakkars Dev,39.30,0.0000,0,0.0000,0
6785,PI25,Thakral Service,6.75,0.0000,0,0.0000,0
6786,TMS,Thambbi Modern,7.35,0.0300,0,0.4098,0
6787,TE07,Thana Elect,5.59,0.0000,0,0.0000,0
6788,TJ,Thangamayil,409.50,2.1000,-8.75,0.5155,-2.0900
6789,TAM03,Thapar Agro Mil,0.00,0.0000,Nan,Nan,Nan
6790,TC04,Thapar Concast,1.60,0.2000,Nan,14.2857,Nan
6791,TE01,Thapar Exports,3.50,0.1000,Nan,2.9412,Nan
6792,TFL01,Thapar Finance ,0.00,0.0000,Nan,Nan,Nan
6793,TFL,Thapar Foods,0.00,0.0000,Nan,Nan,Nan
6794,TI08,Thapar Ispat,2.10,0.1000,Nan,5.0000,Nan
6795,TOF,Thapar Oils,1.00,0.0000,Nan,0.0000,Nan
6796,TAM02,Thaparagro,NT*,0.0000,Nan,0.0000,Nan
6797,TM02,Thaparmilk,NT*,0.0000,Nan,0.0000,Nan
6798,SH12,Syncom Health,1.41,-0.0100,-0.23,-0.7042,-14.0200
6799,HTG,The Hi-Tech Gea,138.80,6.1500,4.80,4.6363,3.5800
6800,IWP540954,The Indian Wood,25.55,0.0500,0.20,0.1961,0.7900
6801,FFS03,The Investment ,132.00,0.5500,-7.50,0.4184,-5.3800
6802,YSL540980,The Yamuna Synd,9000.00,0.0000,0,0.0000,0
6803,TE09,Picturehouse,0.78,0.0000,0.00,0.0000,0.0000
6804,T,Thermax,719.40,0.0000,-14.50,0.0000,-1.9800
6805,TC06,Thirani Chem,4.00,0.0000,Nan,0.0000,Nan
6806,TFI01,Thirdwave Finan,26.70,-0.5000,0,-1.8382,0
6807,TAS,Thiru Arooran,4.90,0.0000,0,0.0000,0
6808,TC07,Thirumalai Chem,78.90,2.3500,7.95,3.0699,11.2100
6809,TCI,Thomas Cook,28.55,0.6500,-1.20,2.3297,-4.0300
6810,TSI01,Thomas Scott,5.59,0.0000,0.26,0.0000,4.88
6811,TT16,Tranway,4.16,0.3700,-1.09,9.7625,-20.7600
6812,RCS01,Tiaan Ayurvedic,22.70,0.1000,0.05,0.4425,0.2200
6813,TWO,Tide Water Oil,4250.00,14.0000,52.00,0.3305,1.2400
6814,TLI,Concurrent,1.13,0.0000,Nan,0.0000,Nan
6815,TP,TPL Plastech,114.75,-1.7500,8.70,-1.5021,8.2000
6816,TIL,TIL,140.55,-0.4500,3.35,-0.3191,2.4400
6817,TFL03,Tilak Ventures,1.85,0.0800,0.18,4.5198,10.7800
6818,TI09,Tilaknagar Ind,16.25,0.0500,-0.40,0.3086,-2.4000
6819,TH,Honeywell Autom,32540.00,-14.9500,190.25,-0.0459,0.5900
6820,TS01,Time Shipping,1.00,0.0000,Nan,0.0000,Nan
6821,TT03,AGC Networks,357.25,9.6500,10.35,2.7762,2.9800
6822,TB01,Times Bank,41.55,3.0500,Nan,7.9221,Nan
6823,TI23,Tarini Int,3.60,0.0000,0,0.0000,0
6824,TE02,Tina Electronic,3.75,0.2500,Nan,7.1429,Nan
6825,TF08,Tinna Finex,6.00,0.0000,Nan,0.0000,Nan
6826,TOC,Tinna Oils,1.00,0.0000,Nan,0.0000,Nan
6827,TO,Tinna Rubber an,15.27,0.7200,-0.03,4.9485,-0.2000
6828,TINNA54174,Tinna Trade Lim,19.50,0.0000,0,0.0000,0
6829,TCI02,Tinplate,132.30,0.1500,2.05,0.1135,1.5700
6830,TI25,Tips Industries,320.95,10.7500,74.90,3.4655,30.4400
6831,TP04,Tirth Plastic,1.00,0.0000,Nan,0.0000,Nan
6832,TFA,Tirumala Fuji,1.00,0.0000,Nan,0.0000,Nan
6833,TFI,Tirupati Fibres,0.00,0.0000,Nan,Nan,Nan
6834,TF13,Tirupati Fin,10.00,0.0000,0,0.0000,0
6835,TF12,Tirupati Fin,150.00,0.0000,0,0.0000,0
6836,TF9,Tirupati Foam,36.25,0.0000,0,0.0000,0
6837,TF09,Tanvi Foods,66.35,0.0000,0,0.0000,0
6838,TI20,Tirupati Ind,2.35,0.0000,0,0.0000,0
6839,TI10,Titagarh Steels,12.03,-0.2500,Nan,-2.0358,Nan
6840,TS06,Tirupati Sarjan,5.56,0.0200,-0.01,0.3610,-0.1800
6841,TSC,Tirupati Starch,35.20,-1.8000,1.25,-4.8649,3.6800
