Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
1992,FI18,Fortune Infotek,1.00,0.0000,Nan,0.0000,Nan
1993,FI11,Fortune Intl,9.00,0.0000,0,0.0000,0
1994,FS01,Forward Sec,1.50,0.0000,Nan,0.0000,Nan
1995,FI12,Foseco India,1223.75,-10.2500,6.70,-0.8306,0.5500
1996,FFP,Foundry Fuel,1.17,0.0000,0,0.0000,0
1997,FDS,Four Dimens,11.00,0.0000,Nan,0.0000,Nan
1998,FGI,Fourth Gen Info,4.18,0.0000,0.38,0.0000,10
1999,MPP01,Franklin Ind,9.80,0.0000,-0.01,0.0000,-0.1
2000,FLF02,Franklin Leasin,28.80,0.0000,-7.2,0.0000,-20
2001,FC07,Fraser and Comp,2.87,0.0000,-0.16,0.0000,-5.2800
2002,FPL01,Fredun Pharmace,260.00,6.0500,28.25,2.3824,12.1900
2003,FF05,Freshtrop Fruit,58.70,0.8500,0.55,1.4693,0.9500
2004,FLF,Frontier Cap,3.72,0.0000,0,0.0000,0
2005,FS02,Frontier Spring,351.00,2.4000,25.65,0.6885,7.8800
2006,FFS04,Frontline Finan,0.00,0.0000,Nan,Nan,Nan
2007,FS08,Frontline Sec,34.70,0.0000,-1.5,0.0000,-4.14
2008,FTL01,Frontline Trans,11.32,0.0000,0,0.0000,0
2009,FV,Fruition Vent,8.00,0.0000,0,0.0000,0
2010,FI13,Fulford,2362.00,0.0000,0,0.0000,0
2011,FI15,Fuller KCP,NT*,0.0000,Nan,0.0000,Nan
2012,BC,Fundviser,7.00,0.0000,-0.25,0.0000,-3.45
2013,FS,Fact Enterprise,0.46,0.0000,0,0.0000,0
2014,FAT,Funworld Tour,4.09,0.1900,Nan,4.8718,Nan
2015,FF06,Fusion Fittings,11.22,0.0000,0,0.0000,0
2016,FPL,Fusion Polymers,0.00,0.0000,Nan,Nan,Nan
2017,FVI,Future Consumer,8.66,0.0600,0.36,0.6977,4.3400
2018,FLF01,Future Life,89.30,0.0500,0.80,0.0560,0.9000
2019,AD04,Kingfisher Air,1.36,0.0000,0,0.0000,0
2020,FR,Future Retail,90.10,-0.1000,3.65,-0.1109,4.2200
2021,FSC,Future Supply,104.55,-0.2500,0.10,-0.2385,0.1000
2022,FS03,Futuristic Sec,16.03,0.0000,0,0.0000,0
2023,FS9,Futuristic Sol,28.35,0.0000,0,0.0000,0
2024,GCC,G Claridge,35.00,0.0000,Nan,0.0000,Nan
2025,PP29,Alchemist Real,1.03,0.0100,0.08,0.9804,8.4200
2026,GS11,G-Tech Info,0.69,0.0000,0,0.0000,0
2027,GDT,G.D. Trading,0.00,0.0000,Nan,Nan,Nan
2028,GI02,Gabriel India,105.20,0.5000,-0.35,0.4776,-0.3300
2029,GML,Gaekwar Mills,16.90,0.3000,0.60,1.8072,3.6800
2030,GG,Gagan Gases,4.62,0.0000,0.22,0.0000,5
2031,GPI01,Gagan Polycot,2.24,0.0000,0,0.0000,0
2032,GAI,GAIL,88.50,1.7000,3.40,1.9585,4.0000
2033,GSS,Geometric,262.90,0.0000,0,0.0000,0
2034,GBG,Gajra Bevel Gea,0.73,0.0000,-0.07,0.0000,-8.75
2035,GPC,Gala Global Prd,52.35,-2.5500,0.30,-4.6448,0.5800
2036,GCS,Gogia Capital,37.00,0.0000,0.75,0.0000,2.07
2037,GF15,Galada Finance,10.40,0.0000,0,0.0000,0
2038,GPT,Galada Telecom,1.63,0.0700,0.27,4.4872,19.8500
2039,GAE03,Galaxy Agrico,8.00,0.0000,0,0.0000,0
2040,GB,Galaxy Bearings,174.30,0.0000,-1.5,0.0000,-0.85
2041,GE04,Galaxy Cloud,13.29,-0.3100,-0.11,-2.2794,-0.8200
2042,GC21,Globe Commercia,12.87,0.0000,0.61,0.0000,4.98
2043,GC15,Galaxy Con,2.05,-1.9500,Nan,-48.7500,Nan
2044,GS12,Geojit Fin,38.90,-0.0500,-0.15,-0.1284,-0.3800
2045,GSL06,Galaxy Surfacta,1890.80,-4.5000,69.75,-0.2374,3.8300
2046,GI,GlaxoSmithKline,1565.90,-8.0000,21.80,-0.5083,1.4100
2047,GM02,Gallantt Metal,30.95,-0.9000,-1.10,-2.8257,-3.4300
2048,FL01,Gallops Ent,12.59,-0.6600,0,-4.9811,0
2049,GBL01,Galvani Batteri,0.00,0.0000,Nan,Nan,Nan
2050,GRT,Gamma Rays Tran,0.65,0.0000,0,0.0000,0
2051,GI03,Gammon India,1.41,0.0000,0,0.0000,0
2052,GIP01,Gammon Infra,0.61,-0.0200,0.00,-3.1746,0.0000
2053,GE03,Ganapati Exp,NT*,0.0000,Nan,0.0000,Nan
2054,GST,Gandhi Spl Tube,212.20,3.5000,11.70,1.6770,5.8400
2055,GSM03,Gandhidham Spg.,0.00,0.0000,Nan,Nan,Nan
2056,GLF,Gandhinagar Fin,21.00,0.0000,0,0.0000,0
2057,GH,Gandhinagar Hot,9.98,0.0000,0,0.0000,0
2058,GB01,Ganesh Benzo,63.45,3.0000,9.05,4.9628,16.6400
2059,GFI03,Ganesh Films In,20.20,0.0000,-5,0.0000,-19.84
2060,SGF02,Ganesh Forgings,0.36,0.0000,0,0.0000,0
2061,GFC02,Ganesh Foundry ,0.00,0.0000,Nan,Nan,Nan
2062,GHL,Ganesh Holdings,0.00,0.0000,Nan,Nan,Nan
2063,GL,Ganesh Leafin,1.00,0.0000,Nan,0.0000,Nan
2064,GP01,Ganesha Ecosph,261.50,4.5000,2.70,1.7510,1.0400
2065,GF,Wadala,2.89,0.0000,0,0.0000,0
2066,KP10,Ganga Papers,32.15,1.5000,3.15,4.8940,10.8600
2067,GPL02,Ganga Pharma,10.80,0.0000,-1.2,0.0000,-10
2068,GA02,Gangadharan App,1.00,0.0000,Nan,0.0000,Nan
2069,GS16,Galaxy Surfact,NT*,0.0000,Nan,0.0000,Nan
2070,GC,Gangotri Cement,1.00,0.0000,Nan,0.0000,Nan
2071,GIS01,Gangotri Iron,0.45,0.0000,0,0.0000,0
2072,GT,Gangotri Textil,0.78,0.0000,-0.04,0.0000,-4.88
2073,GYC,Ganipitak Yaks,1.00,0.0000,Nan,0.0000,Nan
2074,GTF,Ganon Products ,10.10,0.0000,0,0.0000,0
2075,GP13,Garbi Finvest,21.00,0.0000,0,0.0000,0
2076,GRS01,Garden Reach Sh,218.10,1.9500,44.90,0.9022,25.9200
2077,GSM,Garden Silk,10.32,-0.0700,-0.17,-0.6737,-1.6200
2078,GFC03,Garg Forgings,0.00,0.0000,Nan,Nan,Nan
2079,GF03,Garg Furnace,15.40,0.0000,0,0.0000,0
2080,GPI02,Garlon Ind,3.31,0.5500,Nan,19.9275,Nan
2081,GC01,Garnet Construc,20.60,0.9600,3.62,4.8880,21.3200
2082,GI28,Greenlam Ind,743.00,20.4500,39.40,2.8303,5.6000
2083,GC02,Garodia Chemica,5.60,0.0000,0,0.0000,0
2084,GMI,Garware Marine,4.07,0.1900,0.47,4.8969,13.0600
2085,GNL,Garware Nylons ,0.00,0.0000,Nan,Nan,Nan
2086,GP,Garware Poly,263.00,8.8000,5.55,3.4618,2.1600
2087,GS02,Garware Synth,2.05,0.0200,0.20,0.9852,10.8100
2088,GWR,Garware Technic,2099.20,-8.0000,109.15,-0.3797,5.4800
2089,GDR01,Valuemart Info,0.38,0.0000,0,0.0000,0
2090,GD01,Gateway Distri,93.20,1.9000,5.70,2.0811,6.5100
2091,GHT02,Gateway Holding,0.00,0.0000,Nan,Nan,Nan
2092,GM03,Gaurav Mercanti,352.20,0.0000,31.2,0.0000,9.72
2093,GEL,Gautam Exim,45.70,0.0000,-0.2,0.0000,-0.44
2094,SI37,Gayatri Bio,7.16,0.1400,0.53,1.9943,7.9900
2095,GAYAH54154,Gayatri Highway,0.38,0.0000,0,0.0000,0
2096,GP10,Gayatri Project,18.35,0.7500,0.90,4.2614,5.1600
2097,GS14,Gayatri Sugars,1.33,0.0000,-0.19,0.0000,-12.5
2098,GTP,Gayatri Tissue,84.00,0.0000,0.00,0.0000,0.0000
2099,GIL07,Gaylord Ind,0.00,0.0000,Nan,Nan,Nan
2100,GFS,Gazi Fin Ser,1.05,-0.2500,Nan,-19.2308,Nan
2101,MI24,Mahan Ind,0.22,0.0000,0.00,0.0000,0.0000
2102,GCC03,Gccl Constr,3.00,-0.7000,Nan,-18.9189,Nan
2103,GCC04,GCCL Infrastruc,0.00,0.0000,Nan,Nan,Nan
2104,GCA,GCM Capital,3.18,0.0000,0,0.0000,0
2105,GCD01,GCM Commodity,8.78,0.0000,0,0.0000,0
2106,GS13,Nihar Info,5.12,0.2200,0.67,4.4898,15.0600
2107,GCV,GCV Services,0.60,0.0000,Nan,0.0000,Nan
2108,GDL,GDL Leasing,7.57,0.3600,Nan,4.9931,Nan
2109,GDR03,Gateway Dist-RE,14.00,0.0000,-16.3,0.0000,-53.8
2110,AP29,Alembic Pharma,926.15,-11.1500,-28.95,-1.1896,-3.03
2111,GES,GE Shipping,235.80,0.6500,-7.20,0.2764,-2.9600
2112,GGG,Gee Gee Granite,3.25,0.0000,0,0.0000,0
2113,GKT,Gee Kay Tex,1.00,0.0000,Nan,0.0000,Nan
2114,GCI05,GeeCee Ventures,66.45,1.1500,1.25,1.7611,1.9200
2115,GF13,Geefcee Fin,11.80,0.0000,0,0.0000,0
2116,GEI01,Geekay Exim,3.20,-0.1500,Nan,-4.4776,Nan
2117,GI21,Geekay Imaging,1.00,0.0000,Nan,0.0000,Nan
2118,GCC05,Geetanjali Cred,1.10,0.0000,0,0.0000,0
2119,GCC01,Gem Cables,2.60,0.3500,Nan,15.5556,Nan
2120,GE,Gem Eyeadorns,1.00,-0.3000,Nan,-23.0769,Nan
2121,GSI,Gem Spinners,1.81,0.0000,-0.09,0.0000,-4.74
2122,GA05,Gemini Agritech,10.00,0.0000,Nan,0.0000,Nan
2123,GC17,Gemini Comm,0.19,0.0000,0,0.0000,0
2124,GE06,Gemini Engi-Fab,NT*,0.0000,Nan,0.0000,Nan
2125,RKI,Gemmia Oiltech,0.19,0.0000,0,0.0000,0
2126,GI05,Gemstone Inv,1.51,0.0700,0.25,4.8611,19.8400
2127,G01,Genelec,8.00,1.1500,Nan,16.7883,Nan
2128,GAC04,Genera Agri,2.00,0.0300,0.12,1.5228,6.3800
2129,GIC12,General Insuran,121.60,0.5500,-2.65,0.4544,-2.1300
2130,WPF,Generic Eng,50.55,-6.0500,-0.95,-10.6890,-1.8400
2131,AR04,Generic Pharmas,10.99,0.0900,0.27,0.8257,2.52
2132,GDR,Genesis Develop,1.00,0.0000,Nan,0.0000,Nan
2133,GIC10,Genesys Int,59.50,0.0000,0.95,0.0000,1.62
2134,GVB,Genomic Valley,17.75,0.0000,0.75,0.0000,4.41
2135,GCD,Genuine Commod,1.00,0.0000,Nan,0.0000,Nan
2136,GPB,Genus Paper,5.06,0.0500,0.10,0.9980,2.0200
2137,GC19,Genus Prime Inf,1.19,0.0500,-0.11,4.3860,-8.4600
2138,GI06,Geologging Ind,2.50,-0.5000,Nan,-16.6667,Nan
2139,GGL01,German Gardens ,0.00,0.0000,Nan,Nan,Nan
2140,GR,German Remedies,473.20,-13.5500,Nan,-2.7838,Nan
2141,GI07,Gestetner,298.95,20.0500,Nan,7.1890,Nan
2142,GF07,GFL,97.75,1.8500,16.70,1.9291,20.6000
2143,GFI01,GFL Financials,3.53,0.0000,0,0.0000,0
2144,GGA,GG Auto Gears,4.90,0.1800,Nan,3.8136,Nan
2145,GGD,GG Dandekar,43.50,-1.9500,4.20,-4.2904,10.6900
2146,GGL54093,GGL,45.45,6.8500,10.50,17.7461,30.0400
2147,GS08,Ghanshyam St,11.50,-0.9500,Nan,-7.6305,Nan
2148,GFO,Ghushine Fintrr,7.05,0.0000,0,0.0000,0
2149,GIE01,GI Engineering,2.87,0.0000,0.1,0.0000,3.61
2150,GIC02,GIC BalancedFun,9.20,-2.2500,Nan,-19.6507,Nan
2151,GIC07,Gic Gr Plus,5.50,-0.6000,Nan,-9.8361,Nan
2152,GIC01,GIC GrowthPlusI,1.00,0.0000,Nan,0.0000,Nan
2153,GIC,GIC Housing Fin,94.50,0.9500,1.10,1.0155,1.1800
2154,GIC03,GIC Rise 91 CBS,11.00,0.7000,Nan,6.7961,Nan
2155,GIC04,GIC Rise 91 MIS,12.30,2.3000,Nan,23.0000,Nan
2156,GIC05,GIC Rise II CBS,13.60,0.0000,Nan,0.0000,Nan
2157,GIC06,GIC Rise II MIS,9.00,0.0000,Nan,0.0000,Nan
2158,GIC08,Gic Taxsa 95,5.00,0.6000,Nan,13.6364,Nan
2159,GIC09,GIC Taxsaver,2.50,0.0000,Nan,0.0000,Nan
2160,GBV,GICBigCBS,NT*,0.0000,Nan,0.0000,Nan
2161,GBV01,GICBigQDIS,NT*,0.0000,Nan,0.0000,Nan
2162,GREEN54285,GIL,51.35,2.4000,6.15,4.9030,13.6100
2163,MH,GIL Hospitals,1.55,-0.5000,Nan,-24.3902,Nan
2164,GFI02,Gilada Finance,13.91,0.6600,1.29,4.9811,10.2200
2165,GAC03,Gillanders Arbu,28.10,1.3000,1.85,4.8507,7.0500
2166,GI22,Granules India,386.00,2.1500,10.25,0.5601,2.7300
2167,GP02,Gilt Pack,1.45,-0.3500,Nan,-19.4444,Nan
2168,GSM01,Gini Silk Mills,51.00,0.0000,0,0.0000,0
2169,GF01,Ginni Filaments,11.44,-0.2200,0.38,-1.8868,3.4400
2170,GSA02,Girdhari Sugar,10.28,0.0000,0,0.0000,0
2171,GPP01,Giriraj Print,1.35,-0.3000,Nan,-18.1818,Nan
2172,GHR,Girish Hotel,1.00,0.0000,Nan,0.0000,Nan
2173,GTC03,Girish Travels ,0.00,0.0000,Nan,Nan,Nan
2174,GF02,Girnar Fibres,0.35,0.0500,Nan,16.6667,Nan
2175,GIS03,GIS Ltd,33.35,0.7500,Nan,2.3006,Nan
2176,GRE01,Gita Renewable ,5.52,0.0000,0,0.0000,0
2177,GG03,Gitanjali Gems,1.06,0.0000,0,0.0000,0
2178,GKC,GK Consultants,2.54,0.0000,-0.13,0.0000,-4.87
2179,GKB,GKB Ophthalmics,54.75,-0.9000,5.15,-1.6173,10.3800
2180,GKN,GKN Invel Trans,53.15,0.1500,Nan,0.2830,Nan
2181,GKW,GKW,6.15,0.0200,Nan,0.3263,Nan
2182,GLOST54235,GL,465.30,-5.2500,-10.40,-1.1157,-2.1900
2183,GF14,Glance Fin,38.50,-1.9500,-8.60,-4.8208,-18.2600
2184,GIANL54291,GLCL,24.40,-2.7000,-3.55,-9.9631,-12.7000
2185,GI08,Gleitlager,1.30,0.0200,Nan,1.5625,Nan
2186,GP08,Glenmark,490.80,8.4000,8.00,1.7413,1.6600
2187,GG01,Glittke Granite,1.20,0.0000,0,0.0000,0
2188,GAI01,Global Arya Ind,6.00,0.0000,Nan,0.0000,Nan
2189,GCM,Global Cap Mkts,0.85,-0.0400,-0.06,-4.4944,-6.5900
2190,GSL05,Global e-Soluti,0.00,0.0000,Nan,Nan,Nan
2191,GE02,Goldstone Tech,9.24,0.1800,0.51,1.9868,5.8400
2192,GE01,Global Exhibit,2.05,-0.0500,Nan,-2.3810,Nan
2193,GFC01,Global Finance ,0.00,0.0000,Nan,Nan,Nan
2194,GFS04,Global Finance ,0.00,0.0000,Nan,Nan,Nan
2195,GFL,Global Foods,0.00,0.0000,Nan,Nan,Nan
2196,GIL06,Global Ind,0.00,0.0000,Nan,Nan,Nan
2197,MHC,Global Infra,3.60,0.1000,Nan,2.8571,Nan
2198,ACA,Global Infra,1.73,0.0000,0,0.0000,0
2199,GKL,Global Knitfab ,0.00,0.0000,Nan,Nan,Nan
2200,MS19,Global Land,1.78,0.0000,0,0.0000,0
2201,GS01,Global Sec,3.61,0.0000,0,0.0000,0
2202,GS15,Globus Spirits,282.95,13.4500,-9.60,4.9907,-3.2800
2203,GS09,Global Syntx,11.15,1.4500,Nan,14.9485,Nan
2204,GTB,Global Trust,1.17,0.1900,Nan,19.3878,Nan
2205,GVH,Global Vectra,49.85,-1.7500,-0.50,-3.3915,-0.9900
2206,GT06,Olectra Greente,63.35,-0.1500,-1.55,-0.2362,-2.3900
2207,GAT01,Globe Active,0.00,0.0000,Nan,Nan,Nan
2208,GS10,Globe Stocks,10.95,-0.9500,Nan,-7.9832,Nan
2209,GT05,Globsyn Tech,1.00,0.0000,Nan,0.0000,Nan
2210,GF09,Globus Constr,4.75,0.0000,-0.19,0.0000,-3.85
2211,KC05,Globus Corp,0.19,0.0000,0,0.0000,0
2212,GS,Godrej Ind,407.85,-4.0500,6.85,-0.9832,1.7100
2213,GT07,Gokak Textiles,11.15,-0.5700,-0.60,-4.8635,-5.1100
2214,GCI04,Glofame Cotspin,37.65,0.1000,Nan,0.2663,Nan
2215,GLL02,Gloria Leasing ,0.00,0.0000,Nan,Nan,Nan
2216,GC12,Glory Chemicals,1.00,0.0000,Nan,0.0000,Nan
2217,GP09,Glory Polyfilms,0.50,0.0000,0,0.0000,0
2218,PL05,Pressman Advt,17.35,0.0000,0.35,0.0000,2.0600
2219,GMB,GM Breweries,400.00,7.1500,17.80,1.8200,4.6600
2220,GMM,GM Mittal Steel,1.00,0.0000,Nan,0.0000,Nan
2221,GMB01,GMB Ceramics,0.00,0.0000,Nan,Nan,Nan
2222,GMM01,GMM Pfaudler,3836.30,-170.8500,4.90,-4.2636,0.1300
2223,GI27,GMR Infra,23.75,0.6500,0.20,2.8139,0.8500
2224,GMS,GMS Industries,5.40,0.0000,Nan,0.0000,Nan
2225,A03,Frontline Sol,1.96,0.0300,0.06,1.5544,3.16
2226,GNV,GNFC,212.60,4.6000,3.90,2.2115,1.8700
2227,GAO,Goa Agro Oils,0.00,0.0000,Nan,Nan,Nan
2228,GC04,Goa Carbon,204.50,-0.4000,7.30,-0.1952,3.7000
2229,GEF,Goa Electricals,1.00,0.0000,Nan,0.0000,Nan
2230,GFS03,Goa Fruit,2.00,0.0000,Nan,0.0000,Nan
2231,GCL,Godavari Cerami,0.00,0.0000,Nan,Nan,Nan
2232,GD,Godavari Drugs,35.50,1.1500,1.15,3.3479,3.3500
2233,GFC,Godavari Fert,167.05,2.8500,Nan,1.7357,Nan
2234,GPI7,Godawari Power,308.00,9.1500,26.15,3.0617,9.2800
2235,GPI,Godfrey Phillip,918.40,-3.8500,-0.60,-0.4175,-0.0700
2236,GCI,Saregama India,551.00,-6.7500,-16.65,-1.2102,-2.9300
2237,GA03,Asian Films,2.40,0.0000,Nan,0.0000,Nan
2238,GBM,Godrej Boyce,1.00,0.0000,Nan,0.0000,Nan
2239,GCP,Godrej Consumer,733.85,8.5500,32.45,1.1788,4.6300
2240,GI23,Gallantt Ispat,27.75,0.0000,0,0.0000,0
2241,GP11,Godrej Prop,868.00,7.9500,15.00,0.9244,1.7600
2242,GFS01,Godrich Finance,1.00,0.0000,Nan,0.0000,Nan
2243,GBF,Goenka Business,2.73,0.1300,0.37,5.0000,15.6800
2244,GDJ01,Goenka Diamond,0.59,-0.0300,0.02,-4.8387,3.5100
2245,GCS01,Golden Capital ,23.00,0.0000,0,0.0000,0
2246,GMS01,Goiex Michio,0.00,0.0000,Nan,Nan,Nan
2247,GE05,Gokaldas Export,71.00,5.2500,13.40,7.9848,23.2600
2248,GAR,Gokul Agro,13.45,0.1500,-0.60,1.1278,-4.2700
2249,GRS,Gokul Refoils,12.23,0.5800,-2.17,4.9785,-15.0700
2250,GO,GOL Offshore,10.10,0.0000,0,0.0000,0
2251,GEE01,Golconda Engine,0.00,0.0000,Nan,Nan,Nan
2252,GCH,Gold Coin Healt,4.82,0.0000,0,0.0000,0
2253,GML01,Gold Multifab,0.00,0.0000,Nan,Nan,Nan
2254,GRI01,Gold Rock Inves,8.66,0.4100,Nan,4.9697,Nan
2255,GS03,Goldcrest Corp,1.00,0.0000,Nan,0.0000,Nan
2256,GF04,Goldcrest Fin,68.00,0.0000,0,0.0000,0
2257,GAT,Golden Agro-Tec,1.00,0.0000,Nan,0.0000,Nan
2258,GBL,Golden Brewerie,0.00,0.0000,Nan,Nan,Nan
2259,GCS02,Galactico Corp,22.80,0.0000,0,0.0000,0
2260,GC14,Golden Carpe,4.20,0.0000,0,0.0000,0
2261,GC05,Golden Colour,1.00,0.0000,Nan,0.0000,Nan
2262,GCE,Golden Crest Ed,22.00,0.0000,0,0.0000,0
2263,GLL,Golden Legend,109.80,0.0000,0,0.0000,0
2264,GPL,Golden Proteins,0.00,0.0000,Nan,Nan,Nan
2265,GSL04,Golden Soya Ltd,0.00,0.0000,Nan,Nan,Nan
2266,GTR,Golden Tours,13.00,0.1000,Nan,0.7752,Nan
2267,GI10,Goldiam Inter,128.50,1.8500,0.10,1.4607,0.0800
2268,GSP,Goldstar Straw,1.50,0.0000,Nan,0.0000,Nan
2269,GT04,Globalspace Tec,79.50,0.4500,1.95,0.5693,2.5100
2270,GT01,Goldwon Textile,3.50,0.7000,Nan,25.0000,Nan
2271,GGF,Golechha Global,6.80,0.0000,0,0.0000,0
2272,GDJ,Golkunda Diamon,17.05,-0.8500,-0.95,-4.7486,-5.2800
2273,GOM,GOM Industries,3.00,0.5000,Nan,20.0000,Nan
2274,GPI04,Gontermann,2.94,0.0000,0,0.0000,0
2275,GLS,Good Luck,38.55,0.2000,0.45,0.5215,1.1800
2276,GVI,Good Value,1.30,0.0000,Nan,0.0000,Nan
2277,GFS05,Goodearth Fin,0.00,0.0000,Nan,Nan,Nan
2278,GIL05,Goodearth Ind,0.00,0.0000,Nan,Nan,Nan
2279,GG02,Goodricke Group,283.90,-4.1500,6.30,-1.4407,2.2700
2280,GMC,Goodvalue Mkt,4.70,0.6000,Nan,14.6341,Nan
2281,GHR01,Goodwill Hosp,NT*,0.0000,Nan,0.0000,Nan
2282,GI11,Goodyear,847.75,-2.5500,4.05,-0.2999,0.4800
2283,GIS04,Gopal Iron,5.98,0.0000,0,0.0000,0
2284,GP03,Gopala Poly,2.71,-0.1400,-0.23,-4.9123,-7.8200
2285,GGI,Gopikrishna,0.00,0.0000,Nan,Nan,Nan
2286,GI24,Gravita India,50.45,-0.1500,2.35,-0.2964,4.8900
2287,GI20,Gorani Ind,12.00,0.0000,0,0.0000,0
2288,GHI,Gordon Herbert,17.00,-0.9500,Nan,-5.2925,Nan
2289,GW,Gordon Woodroff,20.00,1.0000,Nan,5.2632,Nan
2290,GPI05,Gothi Plascon,13.80,0.0000,-0.05,0.0000,-0.36
2291,GPO,Govind Poy Oxyg,0.00,0.0000,Nan,Nan,Nan
2292,GR01,Govind Rubber,2.66,-0.1300,-0.42,-4.6595,-13.6400
2293,GLF03,Gowra Leasing,14.25,0.0000,0.45,0.0000,3.26
2294,GA06,Goyal Associate,0.81,-0.0300,0.00,-3.5714,0.0000
2295,GPI03,GP Industries,1.00,0.0000,Nan,0.0000,Nan
2296,SP36,GP Petroleums,38.50,0.7000,0.80,1.8519,2.1200
2297,GPT01,GPT Infra,27.55,0.1000,-0.95,0.3643,-3.3300
2298,GRC,GR Cables,0.31,0.0000,0,0.0000,0
2299,GRM,GR Magnets,1.00,0.0000,Nan,0.0000,Nan
2300,VRM,Gradiente Info,1.10,0.0000,0,0.0000,0
2301,GFS02,Graham Firth,4.00,-0.2500,Nan,-5.8824,Nan
2302,GIL02,Graintec India ,0.00,0.0000,Nan,Nan,Nan
2303,GHP,Gran Heal Pharm,5.80,-1.1500,Nan,-16.5468,Nan
2304,GF05,Grand Foundry,2.65,0.0700,0.08,2.7132,3.1100
2305,GP12,Grandeur Prod,309.00,7.1500,40.15,2.3687,14.9300
2306,GTA01,Grandma Trading,2.13,0.0000,0,0.0000,0
2307,GI12,Grapco Ind,1.00,0.0000,Nan,0.0000,Nan
2308,GMC01,Grapco Mining,1.10,0.0000,Nan,0.0000,Nan
2309,GC13,Graphic Charts,1.75,-0.5500,Nan,-23.9130,Nan
2310,GI13,Graphite India,193.20,-2.0000,10.25,-1.0246,5.6000
2311,GI01,Grasim,754.25,10.3000,46.25,1.3845,6.5300
2312,GI14,Gratex Ind,9.25,0.0000,0.2,0.0000,2.21
2313,GWI,Grauer and Weil,36.85,0.4500,1.00,1.2363,2.7900
2314,GLH,Graviss Hosp,9.95,-0.5000,-0.90,-4.7847,-8.2900
2315,GI09,Federal-Mogul,438.55,10.7000,95.60,2.5009,27.8800
2316,GI26,Hardwyn,14.74,0.0000,0,0.0000,0
2317,GWI01,Great Western,11.00,0.5000,Nan,4.7619,Nan
2318,GC20,Galaxy Commerci,10.00,0.0000,0,0.0000,0
2319,MGI,Greencrest Fin,0.49,0.0000,0.00,0.0000,0.0000
2320,GCL01,Greenfield Corp,0.00,0.0000,Nan,Nan,Nan
2321,GWL,Greenland Wareh,0.00,0.0000,Nan,Nan,Nan
2322,GI19,Greenply Ind,84.25,0.2000,-0.70,0.2380,-0.8200
2323,GPP02,Greenview Power,0.00,0.0000,Nan,Nan,Nan
2324,GCN,Gremach CNC,3.80,0.0000,Nan,0.0000,Nan
2325,GTE02,Gremach Tea & E,0.00,0.0000,Nan,Nan,Nan
2326,GI15,Gresoil India,1.50,-0.4000,Nan,-21.0526,Nan
2327,MJP01,Greycells Edu,33.25,0.0000,1.45,0.0000,4.56
2328,GN,Grindwell Norto,561.45,19.4000,35.95,3.5790,6.8400
2329,GRM01,GRM Overseas,328.50,3.4500,12.85,1.0614,4.0700
2330,GLL01,Grover Leasing ,0.00,0.0000,Nan,Nan,Nan
2331,GS05,Growmore Solven,0.95,-0.3000,Nan,-24.0000,Nan
2332,GTP01,Growth Techno,NT*,0.0000,Nan,0.0000,Nan
2333,GRR,GRP,708.00,-16.5000,-1.20,-2.2774,-0.1700
2334,GRU,GRUH Finance,317.30,0.0000,0,0.0000,0
2335,GSA,GS Auto,3.52,-0.0800,-0.06,-2.2222,-1.6800
2336,GSA01,GSAL India,0.25,0.0000,Nan,0.0000,Nan
2337,GSB,GSB Finance,5.65,0.0000,0.51,0.0000,9.92
2338,GSF,GSFC,64.45,2.8500,4.85,4.6266,8.1400
2339,GSL,GSL India,8.49,0.0000,Nan,0.0000,Nan
2340,NP09,GSL Nova Petro,0.53,0.0000,0,0.0000,0
2341,GSL01,GSL Securities,3.60,0.0000,0,0.0000,0
2342,GSP01,GSPL India,1.00,0.0000,Nan,0.0000,Nan
2343,GTC02,GTCL Mobile,2.35,0.0000,Nan,0.0000,Nan
2344,GTL01,GTL Infra,0.64,-0.0100,-0.04,-1.5385,-5.8800
2345,GTN02,GTN Textiles,5.00,0.0000,0,0.0000,0
2346,GH02,GTPL Hathway,88.00,1.5000,1.40,1.7341,1.6200
2347,GTV,GTV Engineering,32.45,0.0000,0,0.0000,0
2348,GAC01,Guj Alkali,334.25,3.4000,6.30,1.0277,1.9200
2349,GAE,Guj Amb Exports,121.60,13.3500,12.42,12.3326,11.3800
2350,GAC02,Guj Ambuja Cots,1.30,0.0000,Nan,0.0000,Nan
2351,GAP,Guj Ambuja Prot,1.25,0.0000,Nan,0.0000,Nan
2352,GAI02,Guj Aqua,1.00,0.0000,Nan,0.0000,Nan
2353,GA04,Guj Arth,1.25,0.0900,Nan,7.7586,Nan
2354,GB02,Guj Bauxite,1.25,0.0000,Nan,0.0000,Nan
2355,GBC,Guj Binil,1.00,0.0000,Nan,0.0000,Nan
2356,GB03,Guj Borosil,89.50,0.0000,-4,0.0000,-4.28
2357,GBP,Guj Bulk Packs,2.95,0.4500,Nan,18.0000,Nan
2358,GCI03,Guj Carbon,1.37,0.0000,0,0.0000,0
2359,GC07,Guj Concast,1.35,0.2500,Nan,22.7273,Nan
2360,GC08,Guj Containers,12.57,-0.6600,0.57,-4.9887,4.7500
2361,GC09,Guj Cotex,1.30,0.0000,0.06,0.0000,4.84
2362,GCI01,Guj Craft Ind,46.55,2.2000,7.10,4.9605,18.0000
